subject,major_num,major_title,minor_code,minor_title,display_order
DB,1,DB개념 및 설계,a,데이터베이스 시스템 개념 및 이론,1
DB,1,DB개념 및 설계,b,"데이터 모델의 개념, 관계형/객체지향 DB",2
DB,1,DB개념 및 설계,c,"데이터베이스 설계, 정규화",3
DB,1,DB개념 및 설계,d,"데이터 아키텍처, 데이터베이스 구축 방법론v.4.0(NIA, 2014)",4
DB,1,DB개념 및 설계,e,"데이터베이스 품질관리, 공공기관 데이터베이스 표준화 지침",5
DB,2,DB언어,a,관계대수,6
DB,2,DB언어,b,"SQL, 내장SQL, 절차형 SQL, ODBC/JDBC 등",7
DB,3,DBMS 기술,a,"DB성능(인덱스, 튜닝), 트랜잭션, 동시성 제어",8
DB,3,DBMS 기술,b,"데이터 백업 및 복구, 데이터 마이그레이션",9
DB,3,DBMS 기술,c,"저장장치, 메모리 DB",10
DB,3,DBMS 기술,d,데이터베이스 보안,11
DB,4,DB응용,a,웹기반 정보시스템,12
DB,4,DB응용,b,"정보검색, 검색엔진",13
DB,4,DB응용,c,"멀티미디어, GIS 등",14
DB,4,DB응용,d,"분산 DBMS, 모바일 DBMS",15
DB,4,DB응용,e,"OPEN API, 공공데이터",16
DB,5,빅데이터 및 AI데티어,a,"빅데이터 관련 기술(저장, 처리, 분석, 시각화)",17
DB,5,빅데이터 및 AI데티어,b,NoSQL,18
DB,5,빅데이터 및 AI데티어,c,"데이터마이닝, DW",19
DB,5,빅데이터 및 AI데티어,d,AI학습데이터 구축,20
PM,1,"정보화 및 소프트웨어 관련 법/제도 및 국내외 지침, 가이드",a,"정보화 및 소프트웨어 관련 법령 및 고시, 가이드",1
PM,1,"정보화 및 소프트웨어 관련 법/제도 및 국내외 지침, 가이드",b,계약 관련 법령 및 예규,2
PM,1,"정보화 및 소프트웨어 관련 법/제도 및 국내외 지침, 가이드",c,대가산정 관련 고시 및 가이드,3
PM,1,"정보화 및 소프트웨어 관련 법/제도 및 국내외 지침, 가이드",d,"IT거버넌스, CoBIT 등 국외 관련 지침",4
PM,2,감리 관련 법제도 및 관련 기술,a,"전자정부법, 정보시스템 감리기준 등 감리 법제도",5
PM,2,감리 관련 법제도 및 관련 기술,b,정보시스템 인프라 관련 법제도,6
PM,2,감리 관련 법제도 및 관련 기술,c,정보시스템 감리 관련 가이드,7
PM,3,조직 관리론,a,"조직구조, 조직이론, 조직설계",8
PM,3,조직 관리론,b,"인적 자원관리, 의사소통관리",9
PM,4,프로젝트 관리,a,프로젝트관리 관련 표준 및 가이드,10
PM,4,프로젝트 관리,b,통합/범위/자원/일정/위험/품질/성과/조달/변화 관리 등,11
SA,1,공통기술,a,"IT 및 정보화 관련 표준, 국내외 표준화 동향",1
SA,1,공통기술,b,정보기술 아키텍처(EA),2
SA,2,아키텍처 설계 및 구축,a,"컴퓨터 구조론 : 디지털 논리회로, 명령어, 주소, CPU/GPU, 파이프라이닝, 기억장치, 입출력장치, 병렬처리 등",3
SA,2,아키텍처 설계 및 구축,b,"하드웨어 : 서버, 스토리지, NAS, 백업장치, UPS, 항온항습기 등",4
SA,2,아키텍처 설계 및 구축,c,"아키텍처 설계 : N-Tier, RAID, 이중화, 부하분산, 가상화, 최적화, 고가용성, 용량산정, 백업/복구, 재해복구 등",5
SA,2,아키텍처 설계 및 구축,d,"클라우드 기반 아키텍처, 전자정부 공통 기반, 서버리스 등",6
