term_id,ease_factor,interval_days,repetitions,next_review_at
1,2.5,0,0,2026-07-11 15:26:18.909733
2,2.5,0,0,2026-07-11 15:26:18.909733
3,2.5,0,0,2026-07-11 15:26:18.909733
4,2.5,0,0,2026-07-11 15:26:18.909733
5,2.5,0,0,2026-07-11 15:26:18.909733
6,2.5,0,0,2026-07-11 15:26:18.909733
7,2.5,0,0,2026-07-11 15:26:18.909733
8,2.5,0,0,2026-07-11 15:26:18.909733
9,2.5,0,0,2026-07-11 15:26:18.909733
10,2.5,0,0,2026-07-11 15:26:18.909733
11,2.5,0,0,2026-07-11 15:26:18.909733
12,2.5,0,0,2026-07-11 15:26:18.909733
13,2.5,0,0,2026-07-11 15:26:18.909733
14,2.5,0,0,2026-07-11 15:26:18.909733
15,2.5,0,0,2026-07-11 15:26:18.909733
16,2.5,0,0,2026-07-11 15:26:18.909733
17,2.5,0,0,2026-07-11 15:26:18.909733
18,2.5,0,0,2026-07-11 15:26:18.909733
19,2.5,0,0,2026-07-11 15:26:18.909733
20,2.5,0,0,2026-07-11 15:26:18.909733
21,2.5,0,0,2026-07-11 15:26:18.909733
22,2.5,0,0,2026-07-11 15:26:18.909733
23,2.5,0,0,2026-07-11 15:26:18.909733
24,2.5,0,0,2026-07-11 15:26:18.909733
25,2.5,0,0,2026-07-11 15:26:18.909733
26,2.5,0,0,2026-07-11 15:26:18.909733
27,2.5,0,0,2026-07-11 15:26:18.909733
28,2.5,0,0,2026-07-11 15:26:18.909733
29,2.5,0,0,2026-07-11 15:26:18.909733
30,2.5,0,0,2026-07-11 15:26:18.909733
31,2.5,0,0,2026-07-11 15:26:18.909733
32,2.5,0,0,2026-07-11 15:26:18.909733
33,2.5,0,0,2026-07-11 15:26:18.909733
34,2.5,0,0,2026-07-11 15:26:18.909733
35,2.5,0,0,2026-07-11 15:26:18.909733
36,2.5,0,0,2026-07-11 15:26:18.909733
37,2.5,0,0,2026-07-11 15:26:18.909733
38,2.5,0,0,2026-07-11 15:26:18.909733
39,2.5,0,0,2026-07-11 15:26:18.909733
40,2.5,0,0,2026-07-11 15:26:18.909733
41,2.5,0,0,2026-07-11 15:26:18.909733
42,2.5,0,0,2026-07-11 15:26:18.909733
43,2.5,0,0,2026-07-11 15:26:18.909733
44,2.5,0,0,2026-07-11 15:26:18.909733
45,2.5,0,0,2026-07-11 15:26:18.909733
46,2.5,0,0,2026-07-11 15:26:18.909733
47,2.5,0,0,2026-07-11 15:26:18.909733
48,2.5,0,0,2026-07-11 15:26:18.909733
