id,subject,name,parent_id,created_at
1,PM,통합관리,,2026-07-11 15:26:18.909733
2,PM,프로젝트관리표준,1,2026-07-11 15:26:18.909733
3,PM,범위관리,,2026-07-11 15:26:18.909733
4,PM,WBS수립,3,2026-07-11 15:26:18.909733
5,PM,일정관리,,2026-07-11 15:26:18.909733
6,PM,일정계획,5,2026-07-11 15:26:18.909733
7,PM,원가관리,,2026-07-11 15:26:18.909733
8,PM,EVM분석,7,2026-07-11 15:26:18.909733
9,PM,법규/제도,,2026-07-11 15:26:18.909733
10,PM,감리대상,9,2026-07-11 15:26:18.909733
11,PM,과업심의,9,2026-07-11 15:26:18.909733
12,PM,분리발주,9,2026-07-11 15:26:18.909733
13,PM,하도급제한,9,2026-07-11 15:26:18.909733
14,PM,사전협의,9,2026-07-11 15:26:18.909733
15,PM,거버넌스,9,2026-07-11 15:26:18.909733
16,SE,SW품질 및 비용산정,,2026-07-11 15:26:18.909733
17,SE,CMMI인증,16,2026-07-11 15:26:18.909733
18,SE,품질인증표준,16,2026-07-11 15:26:18.909733
19,SE,구현 및 테스트,,2026-07-11 15:26:18.909733
20,SE,애자일방법론,19,2026-07-11 15:26:18.909733
21,SE,개발방법론/SW구조/공개SW,,2026-07-11 15:26:18.909733
22,SE,SW아키텍처,21,2026-07-11 15:26:18.909733
23,SE,비용산정모형,16,2026-07-11 15:26:18.909733
24,SE,유지관리 및 운영,,2026-07-11 15:26:18.909733
25,SE,코드품질개선,24,2026-07-11 15:26:18.909733
26,SE,최신개발론,21,2026-07-11 15:26:18.909733
27,SE,요구사항분석 및 설계,,2026-07-11 15:26:18.909733
28,SE,디자인패턴,27,2026-07-11 15:26:18.909733
29,SE,객체지향설계,27,2026-07-11 15:26:18.909733
30,SE,소프트웨어테스트,19,2026-07-11 15:26:18.909733
31,DB,DBMS 기술,,2026-07-11 15:26:18.909733
32,DB,트랜잭션관리,31,2026-07-11 15:26:18.909733
33,DB,DB개념 및 설계,,2026-07-11 15:26:18.909733
34,DB,정규화이론,33,2026-07-11 15:26:18.909733
35,DB,최신DB기술,31,2026-07-11 15:26:18.909733
36,DB,물리설계/튜닝,31,2026-07-11 15:26:18.909733
37,DB,DB응용,,2026-07-11 15:26:18.909733
38,DB,데이터거버넌스,37,2026-07-11 15:26:18.909733
39,SA,기타 신기술,,2026-07-11 15:26:18.909733
40,SA,클라우드기반,39,2026-07-11 15:26:18.909733
41,SA,아키텍처 설계 및 구축,,2026-07-11 15:26:18.909733
42,SA,서버/스토리지,41,2026-07-11 15:26:18.909733
43,SA,데이터 통신 및 네트워크 설계,,2026-07-11 15:26:18.909733
44,SA,차세대네트워크,43,2026-07-11 15:26:18.909733
45,SA,네트워크응용,43,2026-07-11 15:26:18.909733
46,SA,SW아키텍처,41,2026-07-11 15:26:18.909733
47,SA,가상화기술,41,2026-07-11 15:26:18.909733
48,SA,공통기술,,2026-07-11 15:26:18.909733
49,SA,컴퓨터구조,48,2026-07-11 15:26:18.909733
50,SC,공통 보안 기술,,2026-07-11 15:26:18.909733
51,SC,암호학,50,2026-07-11 15:26:18.909733
52,SC,정보보호 법규 및 개인정보보호,,2026-07-11 15:26:18.909733
53,SC,정보보호인증,52,2026-07-11 15:26:18.909733
54,SC,인증기술,50,2026-07-11 15:26:18.909733
55,SC,네트워크 및 시스템 보안,,2026-07-11 15:26:18.909733
56,SC,보안침해공격,55,2026-07-11 15:26:18.909733
57,SC,응용 및 신기술 보안,,2026-07-11 15:26:18.909733
58,SC,최신보안동향,57,2026-07-11 15:26:18.909733
59,SC,개발 및 운영 보안,,2026-07-11 15:26:18.909733
60,SC,웹애플리케이션보안,59,2026-07-11 15:26:18.909733
61,SC,보안네트워크장비,55,2026-07-11 15:26:18.909733
